LMB1D_IDcu,LMB1D_IDor,LMB1D_area,LMB3A_IDcu,LMB3A_Area,Area
219,469,86866060,38,158915449,1688790
219,469,86866060,52,71220826,15240688
219,469,86866060,44,40058863,1204587
219,469,86866060,69,205655685,2863323
219,469,86866060,68,107704110,4814579
220,535,87170001,36,262027065,16176274
220,535,87170001,46,943508243,30966426
220,535,87170001,69,205655685,12895887
220,535,87170001,68,107704110,8935691
220,535,87170001,84,247483370,18125389
221,502,87018166,38,158915449,716145
221,502,87018166,69,205655685,63952317
221,502,87018166,68,107704110,22321009
222,568,87321563,18,1058895316,238124
222,568,87321563,46,943508243,85995009
222,568,87321563,84,247483370,1092018
223,536,87170001,20,189334893,5715624
223,536,87170001,36,262027065,54627470
223,536,87170001,46,943508243,14255638
223,536,87170001,68,107704110,12524691
223,536,87170001,81,40751932,54523
224,470,86866060,94,53028681,6342707
224,470,86866060,92,41129359,20004416
224,470,86866060,1,45581103,14318844
224,470,86866060,5,9367969,112833
224,470,86866060,3,23599862,145206
224,470,86866060,9,12835933,4264274
224,470,86866060,7,9083528,7153217
224,470,86866060,8,26845402,26366018
224,470,86866060,43,15444465,5458936
224,470,86866060,68,107704110,2593727
225,503,87018166,2,18093661,3403230
225,503,87018166,7,9083528,1535395
225,503,87018166,43,15444465,9985530
225,503,87018166,69,205655685,4798387
225,503,87018166,68,107704110,56429138
225,503,87018166,81,40751932,10853452
226,569,87321563,18,1058895316,266646
226,569,87321563,20,189334893,44444317
226,569,87321563,46,943508243,42611034
227,471,86866060,1,45581103,1741596
227,471,86866060,2,18093661,2559068
227,471,86866060,5,9367969,9219330
227,471,86866060,6,15866738,15866738
227,471,86866060,3,23599862,11088678
227,471,86866060,9,12835933,8571659
227,471,86866060,7,9083528,270730
227,471,86866060,8,26845402,479384
227,471,86866060,14,7252413,7156921
227,471,86866060,34,25951788,2478871
227,471,86866060,31,41505966,4664091
227,471,86866060,29,8313145,7089489
227,471,86866060,55,5294278,5294278
227,471,86866060,60,14150610,8976316
227,471,86866060,90,94840189,1405675
228,537,87170001,20,189334893,538928
228,537,87170001,36,262027065,82230606
228,537,87170001,81,40751932,4427085
229,504,87018166,2,18093661,12131363
229,504,87018166,5,9367969,35807
229,504,87018166,7,9083528,124185
229,504,87018166,34,25951788,22713049
229,504,87018166,36,262027065,15984817
229,504,87018166,29,8313145,1223656
229,504,87018166,68,107704110,85274
229,504,87018166,81,40751932,25416871
229,504,87018166,76,54275025,8308198
229,504,87018166,90,94840189,1142395
230,570,87321563,20,189334893,79681713
230,570,87321563,10,523510767,1324167
230,570,87321563,36,262027065,6288109
231,571,87321563,20,189334893,10326410
231,571,87321563,10,523510767,69351629
231,571,87321563,36,262027065,7638363
232,572,87321563,10,523510767,86767352
232,572,87321563,77,224637779,554207
233,573,87321563,10,523510767,65887521
233,573,87321563,25,591590255,13962055
233,573,87321563,77,224637779,7568120
234,574,87321563,10,523510767,61263
234,574,87321563,25,591590255,85238135
234,574,87321563,77,224637779,2022267
235,575,87321563,25,591590255,87321563
236,576,87321563,21,422877216,4923648
236,576,87321563,25,591590255,82397759
237,577,87321563,21,422877216,79876176
237,577,87321563,25,591590255,7467499
238,578,87321563,21,422877216,87155744
238,578,87321563,39,418791245,165820
239,579,87321563,21,422877216,54202223
239,579,87321563,37,968849309,31194370
239,579,87321563,35,377356241,1912110
240,580,87321563,21,422877216,12862699
240,580,87321563,37,968849309,72029868
240,580,87321563,35,377356241,2359073
241,581,87321563,37,968849309,87321563
242,582,87321563,37,968849309,87321563
243,583,87321563,4,1064709081,2362185
243,583,87321563,37,968849309,78492902
243,583,87321563,73,590322834,6467803
244,584,87321563,4,1064709081,8125578
244,584,87321563,37,968849309,547756
244,584,87321563,73,590322834,78654515
245,585,87321563,32,323346859,23772698
245,585,87321563,73,590322834,63548579
246,586,87321563,32,323346859,55554911
246,586,87321563,73,590322834,31766696
247,587,76889316,32,323346859,48144551
247,587,76889316,73,590322834,28628037
248,588,21982182,32,323346859,21880298
249,604,87472852,18,1058895316,2463276
249,604,87472852,20,189334893,2804569
249,604,87472852,10,523510767,82206895
250,605,70439406,10,523510767,70278621
251,606,46834501,10,523510767,45830145
251,606,46834501,25,591590255,727191
252,607,34390317,10,523510767,25640
252,607,34390317,25,591590255,34124304
253,608,69023665,25,591590255,68791069
254,609,55539936,25,591590255,55351047
255,610,37603589,21,422877216,13158984
255,610,37603589,25,591590255,24204603
256,611,37053894,21,422877216,36896399
257,612,87400882,21,422877216,65706654
257,612,87400882,37,968849309,21694146
258,613,87472852,21,422877216,3454942
258,613,87472852,37,968849309,84027289
259,614,87472852,37,968849309,87472852
260,615,87472852,37,968849309,87472852
261,616,87472852,4,1064709081,23652853
261,616,87472852,37,968849309,63819719
262,617,87472852,4,1064709081,72411359
262,617,87472852,37,968849309,2198006
262,617,87472852,73,590322834,12866223
263,618,87472852,4,1064709081,7946377
263,618,87472852,32,323346859,11709365
263,618,87472852,73,590322834,67671722
264,619,87472852,4,1064709081,13885722
264,619,87472852,32,323346859,66060794
264,619,87472852,73,590322834,7460601
265,620,87472852,4,1064709081,42750238
265,620,87472852,32,323346859,44729444
266,621,83505216,4,1064709081,39039897
266,621,83505216,32,323346859,44380604
267,622,49761897,4,1064709081,49605399
267,622,49761897,32,323346859,3088
268,623,22299457,4,1064709081,22059564
269,467,71986223,38,158915449,70425513
269,467,71986223,69,205655685,1349064
270,500,42515807,38,158915449,1142504
270,500,42515807,69,205655685,11606737
270,500,42515807,84,247483370,29534629
271,533,86612515,46,943508243,10758097
271,533,86612515,84,247483370,75819136
272,566,87321563,46,943508243,78047486
272,566,87321563,84,247483370,9274091
273,599,87442635,18,1058895316,3100296
273,599,87442635,46,943508243,84343570
274,632,18785435,46,943508243,18583887
275,567,87321563,46,943508243,70876274
275,567,87321563,84,247483370,16440089
276,468,86866060,94,53028681,1464912
276,468,86866060,38,158915449,43077782
276,468,86866060,52,71220826,30159832
276,468,86866060,69,205655685,12210455
276,468,86866060,78,32016491,6498
277,501,87018166,38,158915449,3722765
277,501,87018166,69,205655685,81429689
277,501,87018166,84,247483370,1812412
278,534,87170001,69,205655685,14458578
278,534,87170001,84,247483370,72745652
279,600,86407666,18,1058895316,48219534
279,600,86407666,46,943508243,38198849
280,633,26119115,18,1058895316,25904452
280,633,26119115,46,943508243,73616
281,601,87472852,18,1058895316,75259971
281,601,87472852,46,943508243,12212874
282,634,80199311,18,1058895316,80104556
283,602,87472852,18,1058895316,67166144
283,602,87472852,20,189334893,20266733
283,602,87472852,46,943508243,54602
284,635,87623867,18,1058895316,87623867
285,603,87472852,18,1058895316,50935999
285,603,87472852,20,189334893,25556599
285,603,87472852,10,523510767,10992763
286,636,87623867,18,1058895316,82507689
286,636,87623867,10,523510767,5116145
287,637,81753076,18,1058895316,52522346
287,637,81753076,10,523510767,29099794
288,638,9228087,10,523510767,9108163
289,645,14573393,21,422877216,11335394
289,645,14573393,37,968849309,3048711
290,646,15674612,37,968849309,15621242
291,647,49314324,37,968849309,49170588
292,648,70709981,37,968849309,70575968
293,649,87623867,4,1064709081,45797229
293,649,87623867,37,968849309,41826343
294,650,87623867,4,1064709081,84390539
294,650,87623867,37,968849309,3239223
